01ff : add edi, edi
0200 : add al, byte ptr [rax]
0201 : add al, byte ptr [rcx]
0202 : add al, byte ptr [rdx]
0203 : add al, byte ptr [rbx]
0206 : add al, byte ptr [rsi]
0207 : add al, byte ptr [rdi]
0208 : add cl, byte ptr [rax]
0209 : add cl, byte ptr [rcx]
020a : add cl, byte ptr [rdx]
020b : add cl, byte ptr [rbx]
020e : add cl, byte ptr [rsi]
020f : add cl, byte ptr [rdi]
0210 : add dl, byte ptr [rax]
0211 : add dl, byte ptr [rcx]
0212 : add dl, byte ptr [rdx]
0213 : add dl, byte ptr [rbx]
0216 : add dl, byte ptr [rsi]
0217 : add dl, byte ptr [rdi]
0218 : add bl, byte ptr [rax]
0219 : add bl, byte ptr [rcx]
021a : add bl, byte ptr [rdx]
021b : add bl, byte ptr [rbx]
021e : add bl, byte ptr [rsi]
021f : add bl, byte ptr [rdi]
0220 : add ah, byte ptr [rax]
0221 : add ah, byte ptr [rcx]
0222 : add ah, byte ptr [rdx]
0223 : add ah, byte ptr [rbx]
0226 : add ah, byte ptr [rsi]
0227 : add ah, byte ptr [rdi]
0228 : add ch, byte ptr [rax]
0229 : add ch, byte ptr [rcx]
022a : add ch, byte ptr [rdx]
022b : add ch, byte ptr [rbx]
022e : add ch, byte ptr [rsi]
022f : add ch, byte ptr [rdi]
0230 : add dh, byte ptr [rax]
0231 : add dh, byte ptr [rcx]
0232 : add dh, byte ptr [rdx]
0233 : add dh, byte ptr [rbx]
0236 : add dh, byte ptr [rsi]
0237 : add dh, byte ptr [rdi]
0238 : add bh, byte ptr [rax]
0239 : add bh, byte ptr [rcx]
023a : add bh, byte ptr [rdx]
023b : add bh, byte ptr [rbx]
023e : add bh, byte ptr [rsi]
023f : add bh, byte ptr [rdi]
02c0 : add al, al
02c1 : add al, cl
02c2 : add al, dl
02c3 : add al, bl
02c4 : add al, ah
02c5 : add al, ch
02c6 : add al, dh
02c7 : add al, bh
02c8 : add cl, al
02c9 : add cl, cl
02ca : add cl, dl
02cb : add cl, bl
02cc : add cl, ah
02cd : add cl, ch
02ce : add cl, dh
02cf : add cl, bh
02d0 : add dl, al
02d1 : add dl, cl
02d2 : add dl, dl
02d3 : add dl, bl
02d4 : add dl, ah
02d5 : add dl, ch
02d6 : add dl, dh
02d7 : add dl, bh
02d8 : add bl, al
02d9 : add bl, cl
02da : add bl, dl
02db : add bl, bl
02dc : add bl, ah
02dd : add bl, ch
02de : add bl, dh
02df : add bl, bh
02e0 : add ah, al
02e1 : add ah, cl
02e2 : add ah, dl
02e3 : add ah, bl
02e4 : add ah, ah
02e5 : add ah, ch
02e6 : add ah, dh
02e7 : add ah, bh
02e8 : add ch, al
02e9 : add ch, cl
02ea : add ch, dl
02eb : add ch, bl
02ec : add ch, ah
02ed : add ch, ch
02ee : add ch, dh
02ef : add ch, bh
02f0 : add dh, al
02f1 : add dh, cl
02f2 : add dh, dl
02f3 : add dh, bl
02f4 : add dh, ah
02f5 : add dh, ch
02f6 : add dh, dh
02f7 : add dh, bh
02f8 : add bh, al
02f9 : add bh, cl
02fa : add bh, dl
02fb : add bh, bl
02fc : add bh, ah
02fd : add bh, ch
02fe : add bh, dh
02ff : add bh, bh
0300 : add eax, dword ptr [rax]
0301 : add eax, dword ptr [rcx]
0302 : add eax, dword ptr [rdx]
0303 : add eax, dword ptr [rbx]
0306 : add eax, dword ptr [rsi]
0307 : add eax, dword ptr [rdi]
0308 : add ecx, dword ptr [rax]
0309 : add ecx, dword ptr [rcx]
030a : add ecx, dword ptr [rdx]
030b : add ecx, dword ptr [rbx]
030e : add ecx, dword ptr [rsi]
030f : add ecx, dword ptr [rdi]
0310 : add edx, dword ptr [rax]
0311 : add edx, dword ptr [rcx]
0312 : add edx, dword ptr [rdx]
0313 : add edx, dword ptr [rbx]
