Hexa,Instruction,Type
2cf8,"sub al, 0xf8",2-byte
2cf9,"sub al, 0xf9",2-byte
2cfa,"sub al, 0xfa",2-byte
2cfb,"sub al, 0xfb",2-byte
2cfc,"sub al, 0xfc",2-byte
2cfd,"sub al, 0xfd",2-byte
2cfe,"sub al, 0xfe",2-byte
2cff,"sub al, 0xff",2-byte
2e6e,"outsb dx, byte ptr cs:[rsi]",2-byte
2e6f,"outsd dx, dword ptr cs:[rsi]",2-byte
2ea4,"movsb byte ptr [rdi], byte ptr cs:[rsi]",2-byte
2ea5,"movsd dword ptr [rdi], dword ptr cs:[rsi]",2-byte
2ea6,"cmpsb byte ptr cs:[rsi], byte ptr [rdi]",2-byte
2ea7,"cmpsd dword ptr cs:[rsi], dword ptr [rdi]",2-byte
2eac,"lodsb al, byte ptr cs:[rsi]",2-byte
2ead,"lodsd eax, dword ptr cs:[rsi]",2-byte
3000,"xor byte ptr [rax], al",2-byte
3001,"xor byte ptr [rcx], al",2-byte
3002,"xor byte ptr [rdx], al",2-byte
3003,"xor byte ptr [rbx], al",2-byte
3006,"xor byte ptr [rsi], al",2-byte
3007,"xor byte ptr [rdi], al",2-byte
3008,"xor byte ptr [rax], cl",2-byte
3009,"xor byte ptr [rcx], cl",2-byte
300a,"xor byte ptr [rdx], cl",2-byte
300b,"xor byte ptr [rbx], cl",2-byte
300e,"xor byte ptr [rsi], cl",2-byte
300f,"xor byte ptr [rdi], cl",2-byte
3010,"xor byte ptr [rax], dl",2-byte
3011,"xor byte ptr [rcx], dl",2-byte
3012,"xor byte ptr [rdx], dl",2-byte
3013,"xor byte ptr [rbx], dl",2-byte
3016,"xor byte ptr [rsi], dl",2-byte
3017,"xor byte ptr [rdi], dl",2-byte
3018,"xor byte ptr [rax], bl",2-byte
3019,"xor byte ptr [rcx], bl",2-byte
301a,"xor byte ptr [rdx], bl",2-byte
301b,"xor byte ptr [rbx], bl",2-byte
301e,"xor byte ptr [rsi], bl",2-byte
301f,"xor byte ptr [rdi], bl",2-byte
3020,"xor byte ptr [rax], ah",2-byte
3021,"xor byte ptr [rcx], ah",2-byte
3022,"xor byte ptr [rdx], ah",2-byte
3023,"xor byte ptr [rbx], ah",2-byte
3026,"xor byte ptr [rsi], ah",2-byte
3027,"xor byte ptr [rdi], ah",2-byte
3028,"xor byte ptr [rax], ch",2-byte
3029,"xor byte ptr [rcx], ch",2-byte
302a,"xor byte ptr [rdx], ch",2-byte
302b,"xor byte ptr [rbx], ch",2-byte
302e,"xor byte ptr [rsi], ch",2-byte
302f,"xor byte ptr [rdi], ch",2-byte
3030,"xor byte ptr [rax], dh",2-byte
3031,"xor byte ptr [rcx], dh",2-byte
3032,"xor byte ptr [rdx], dh",2-byte
3033,"xor byte ptr [rbx], dh",2-byte
3036,"xor byte ptr [rsi], dh",2-byte
3037,"xor byte ptr [rdi], dh",2-byte
3038,"xor byte ptr [rax], bh",2-byte
3039,"xor byte ptr [rcx], bh",2-byte
303a,"xor byte ptr [rdx], bh",2-byte
303b,"xor byte ptr [rbx], bh",2-byte
303e,"xor byte ptr [rsi], bh",2-byte
303f,"xor byte ptr [rdi], bh",2-byte
30c0,"xor al, al",2-byte
30c1,"xor cl, al",2-byte
30c2,"xor dl, al",2-byte
30c3,"xor bl, al",2-byte
30c4,"xor ah, al",2-byte
30c5,"xor ch, al",2-byte
30c6,"xor dh, al",2-byte
30c7,"xor bh, al",2-byte
30c8,"xor al, cl",2-byte
30c9,"xor cl, cl",2-byte
30ca,"xor dl, cl",2-byte
30cb,"xor bl, cl",2-byte
30cc,"xor ah, cl",2-byte
30cd,"xor ch, cl",2-byte
30ce,"xor dh, cl",2-byte
30cf,"xor bh, cl",2-byte
30d0,"xor al, dl",2-byte
30d1,"xor cl, dl",2-byte
30d2,"xor dl, dl",2-byte
30d3,"xor bl, dl",2-byte
30d4,"xor ah, dl",2-byte
30d5,"xor ch, dl",2-byte
30d6,"xor dh, dl",2-byte
30d7,"xor bh, dl",2-byte
30d8,"xor al, bl",2-byte
30d9,"xor cl, bl",2-byte
30da,"xor dl, bl",2-byte
30db,"xor bl, bl",2-byte
30dc,"xor ah, bl",2-byte
30dd,"xor ch, bl",2-byte
30de,"xor dh, bl",2-byte
30df,"xor bh, bl",2-byte
30e0,"xor al, ah",2-byte
30e1,"xor cl, ah",2-byte
30e2,"xor dl, ah",2-byte
30e3,"xor bl, ah",2-byte
30e4,"xor ah, ah",2-byte
30e5,"xor ch, ah",2-byte
30e6,"xor dh, ah",2-byte
30e7,"xor bh, ah",2-byte
30e8,"xor al, ch",2-byte
30e9,"xor cl, ch",2-byte
30ea,"xor dl, ch",2-byte
30eb,"xor bl, ch",2-byte
30ec,"xor ah, ch",2-byte
30ed,"xor ch, ch",2-byte
30ee,"xor dh, ch",2-byte
30ef,"xor bh, ch",2-byte
30f0,"xor al, dh",2-byte
30f1,"xor cl, dh",2-byte
30f2,"xor dl, dh",2-byte
30f3,"xor bl, dh",2-byte
30f4,"xor ah, dh",2-byte
30f5,"xor ch, dh",2-byte
30f6,"xor dh, dh",2-byte
30f7,"xor bh, dh",2-byte
30f8,"xor al, bh",2-byte
30f9,"xor cl, bh",2-byte
30fa,"xor dl, bh",2-byte
30fb,"xor bl, bh",2-byte
30fc,"xor ah, bh",2-byte
30fd,"xor ch, bh",2-byte
30fe,"xor dh, bh",2-byte
30ff,"xor bh, bh",2-byte
3100,"xor dword ptr [rax], eax",2-byte
3101,"xor dword ptr [rcx], eax",2-byte
3102,"xor dword ptr [rdx], eax",2-byte
3103,"xor dword ptr [rbx], eax",2-byte
3106,"xor dword ptr [rsi], eax",2-byte
3107,"xor dword ptr [rdi], eax",2-byte
3108,"xor dword ptr [rax], ecx",2-byte
3109,"xor dword ptr [rcx], ecx",2-byte
310a,"xor dword ptr [rdx], ecx",2-byte
310b,"xor dword ptr [rbx], ecx",2-byte
310e,"xor dword ptr [rsi], ecx",2-byte
310f,"xor dword ptr [rdi], ecx",2-byte
3110,"xor dword ptr [rax], edx",2-byte
3111,"xor dword ptr [rcx], edx",2-byte
3112,"xor dword ptr [rdx], edx",2-byte
3113,"xor dword ptr [rbx], edx",2-byte
3116,"xor dword ptr [rsi], edx",2-byte
3117,"xor dword ptr [rdi], edx",2-byte
3118,"xor dword ptr [rax], ebx",2-byte
3119,"xor dword ptr [rcx], ebx",2-byte
311a,"xor dword ptr [rdx], ebx",2-byte
311b,"xor dword ptr [rbx], ebx",2-byte
311e,"xor dword ptr [rsi], ebx",2-byte
311f,"xor dword ptr [rdi], ebx",2-byte
3120,"xor dword ptr [rax], esp",2-byte
3121,"xor dword ptr [rcx], esp",2-byte
3122,"xor dword ptr [rdx], esp",2-byte
3123,"xor dword ptr [rbx], esp",2-byte
3126,"xor dword ptr [rsi], esp",2-byte
3127,"xor dword ptr [rdi], esp",2-byte
3128,"xor dword ptr [rax], ebp",2-byte
3129,"xor dword ptr [rcx], ebp",2-byte
312a,"xor dword ptr [rdx], ebp",2-byte
312b,"xor dword ptr [rbx], ebp",2-byte
312e,"xor dword ptr [rsi], ebp",2-byte
312f,"xor dword ptr [rdi], ebp",2-byte
3130,"xor dword ptr [rax], esi",2-byte
3131,"xor dword ptr [rcx], esi",2-byte
3132,"xor dword ptr [rdx], esi",2-byte
3133,"xor dword ptr [rbx], esi",2-byte
3136,"xor dword ptr [rsi], esi",2-byte
3137,"xor dword ptr [rdi], esi",2-byte
3138,"xor dword ptr [rax], edi",2-byte
3139,"xor dword ptr [rcx], edi",2-byte
313a,"xor dword ptr [rdx], edi",2-byte
313b,"xor dword ptr [rbx], edi",2-byte
313e,"xor dword ptr [rsi], edi",2-byte
313f,"xor dword ptr [rdi], edi",2-byte
31c0,"xor eax, eax",2-byte
31c1,"xor ecx, eax",2-byte
31c2,"xor edx, eax",2-byte
31c3,"xor ebx, eax",2-byte
31c4,"xor esp, eax",2-byte
31c5,"xor ebp, eax",2-byte
31c6,"xor esi, eax",2-byte
31c7,"xor edi, eax",2-byte
31c8,"xor eax, ecx",2-byte
31c9,"xor ecx, ecx",2-byte
31ca,"xor edx, ecx",2-byte
31cb,"xor ebx, ecx",2-byte
31cc,"xor esp, ecx",2-byte
31cd,"xor ebp, ecx",2-byte
31ce,"xor esi, ecx",2-byte
31cf,"xor edi, ecx",2-byte
31d0,"xor eax, edx",2-byte
31d1,"xor ecx, edx",2-byte
31d2,"xor edx, edx",2-byte
31d3,"xor ebx, edx",2-byte
31d4,"xor esp, edx",2-byte
31d5,"xor ebp, edx",2-byte
31d6,"xor esi, edx",2-byte
31d7,"xor edi, edx",2-byte
31d8,"xor eax, ebx",2-byte
31d9,"xor ecx, ebx",2-byte
31da,"xor edx, ebx",2-byte
31db,"xor ebx, ebx",2-byte
31dc,"xor esp, ebx",2-byte
31dd,"xor ebp, ebx",2-byte
31de,"xor esi, ebx",2-byte
31df,"xor edi, ebx",2-byte
31e0,"xor eax, esp",2-byte
31e1,"xor ecx, esp",2-byte
31e2,"xor edx, esp",2-byte
31e3,"xor ebx, esp",2-byte
31e4,"xor esp, esp",2-byte
31e5,"xor ebp, esp",2-byte
31e6,"xor esi, esp",2-byte
31e7,"xor edi, esp",2-byte
31e8,"xor eax, ebp",2-byte
31e9,"xor ecx, ebp",2-byte
31ea,"xor edx, ebp",2-byte
31eb,"xor ebx, ebp",2-byte
31ec,"xor esp, ebp",2-byte
31ed,"xor ebp, ebp",2-byte
31ee,"xor esi, ebp",2-byte
31ef,"xor edi, ebp",2-byte
31f0,"xor eax, esi",2-byte
31f1,"xor ecx, esi",2-byte
31f2,"xor edx, esi",2-byte
31f3,"xor ebx, esi",2-byte
31f4,"xor esp, esi",2-byte
31f5,"xor ebp, esi",2-byte
31f6,"xor esi, esi",2-byte
31f7,"xor edi, esi",2-byte
31f8,"xor eax, edi",2-byte
31f9,"xor ecx, edi",2-byte
31fa,"xor edx, edi",2-byte
31fb,"xor ebx, edi",2-byte
31fc,"xor esp, edi",2-byte
31fd,"xor ebp, edi",2-byte
31fe,"xor esi, edi",2-byte
31ff,"xor edi, edi",2-byte
3200,"xor al, byte ptr [rax]",2-byte
3201,"xor al, byte ptr [rcx]",2-byte
3202,"xor al, byte ptr [rdx]",2-byte
3203,"xor al, byte ptr [rbx]",2-byte
3206,"xor al, byte ptr [rsi]",2-byte
3207,"xor al, byte ptr [rdi]",2-byte
3208,"xor cl, byte ptr [rax]",2-byte
3209,"xor cl, byte ptr [rcx]",2-byte
320a,"xor cl, byte ptr [rdx]",2-byte
320b,"xor cl, byte ptr [rbx]",2-byte
320e,"xor cl, byte ptr [rsi]",2-byte
320f,"xor cl, byte ptr [rdi]",2-byte
3210,"xor dl, byte ptr [rax]",2-byte
3211,"xor dl, byte ptr [rcx]",2-byte
3212,"xor dl, byte ptr [rdx]",2-byte
3213,"xor dl, byte ptr [rbx]",2-byte
3216,"xor dl, byte ptr [rsi]",2-byte
3217,"xor dl, byte ptr [rdi]",2-byte
3218,"xor bl, byte ptr [rax]",2-byte
3219,"xor bl, byte ptr [rcx]",2-byte
321a,"xor bl, byte ptr [rdx]",2-byte
321b,"xor bl, byte ptr [rbx]",2-byte
321e,"xor bl, byte ptr [rsi]",2-byte
321f,"xor bl, byte ptr [rdi]",2-byte
3220,"xor ah, byte ptr [rax]",2-byte
3221,"xor ah, byte ptr [rcx]",2-byte
3222,"xor ah, byte ptr [rdx]",2-byte
3223,"xor ah, byte ptr [rbx]",2-byte
3226,"xor ah, byte ptr [rsi]",2-byte
3227,"xor ah, byte ptr [rdi]",2-byte
3228,"xor ch, byte ptr [rax]",2-byte
3229,"xor ch, byte ptr [rcx]",2-byte
322a,"xor ch, byte ptr [rdx]",2-byte
322b,"xor ch, byte ptr [rbx]",2-byte
322e,"xor ch, byte ptr [rsi]",2-byte
322f,"xor ch, byte ptr [rdi]",2-byte
3230,"xor dh, byte ptr [rax]",2-byte
3231,"xor dh, byte ptr [rcx]",2-byte
3232,"xor dh, byte ptr [rdx]",2-byte
3233,"xor dh, byte ptr [rbx]",2-byte
3236,"xor dh, byte ptr [rsi]",2-byte
3237,"xor dh, byte ptr [rdi]",2-byte
3238,"xor bh, byte ptr [rax]",2-byte
3239,"xor bh, byte ptr [rcx]",2-byte
323a,"xor bh, byte ptr [rdx]",2-byte
323b,"xor bh, byte ptr [rbx]",2-byte
323e,"xor bh, byte ptr [rsi]",2-byte
323f,"xor bh, byte ptr [rdi]",2-byte
32c0,"xor al, al",2-byte
32c1,"xor al, cl",2-byte
32c2,"xor al, dl",2-byte
32c3,"xor al, bl",2-byte
32c4,"xor al, ah",2-byte
32c5,"xor al, ch",2-byte
32c6,"xor al, dh",2-byte
32c7,"xor al, bh",2-byte
32c8,"xor cl, al",2-byte
32c9,"xor cl, cl",2-byte
32ca,"xor cl, dl",2-byte
32cb,"xor cl, bl",2-byte
32cc,"xor cl, ah",2-byte
32cd,"xor cl, ch",2-byte
32ce,"xor cl, dh",2-byte
32cf,"xor cl, bh",2-byte
32d0,"xor dl, al",2-byte
32d1,"xor dl, cl",2-byte
32d2,"xor dl, dl",2-byte
32d3,"xor dl, bl",2-byte
32d4,"xor dl, ah",2-byte
32d5,"xor dl, ch",2-byte
32d6,"xor dl, dh",2-byte
32d7,"xor dl, bh",2-byte
32d8,"xor bl, al",2-byte
32d9,"xor bl, cl",2-byte
32da,"xor bl, dl",2-byte
32db,"xor bl, bl",2-byte
32dc,"xor bl, ah",2-byte
32dd,"xor bl, ch",2-byte
32de,"xor bl, dh",2-byte
32df,"xor bl, bh",2-byte
32e0,"xor ah, al",2-byte
32e1,"xor ah, cl",2-byte
32e2,"xor ah, dl",2-byte
32e3,"xor ah, bl",2-byte
32e4,"xor ah, ah",2-byte
32e5,"xor ah, ch",2-byte
32e6,"xor ah, dh",2-byte
32e7,"xor ah, bh",2-byte
32e8,"xor ch, al",2-byte
32e9,"xor ch, cl",2-byte
32ea,"xor ch, dl",2-byte
32eb,"xor ch, bl",2-byte
32ec,"xor ch, ah",2-byte
32ed,"xor ch, ch",2-byte
32ee,"xor ch, dh",2-byte
32ef,"xor ch, bh",2-byte
32f0,"xor dh, al",2-byte
32f1,"xor dh, cl",2-byte
32f2,"xor dh, dl",2-byte
32f3,"xor dh, bl",2-byte
32f4,"xor dh, ah",2-byte
32f5,"xor dh, ch",2-byte
32f6,"xor dh, dh",2-byte
32f7,"xor dh, bh",2-byte
32f8,"xor bh, al",2-byte
32f9,"xor bh, cl",2-byte
32fa,"xor bh, dl",2-byte
32fb,"xor bh, bl",2-byte
32fc,"xor bh, ah",2-byte
32fd,"xor bh, ch",2-byte
32fe,"xor bh, dh",2-byte
32ff,"xor bh, bh",2-byte
3300,"xor eax, dword ptr [rax]",2-byte
3301,"xor eax, dword ptr [rcx]",2-byte
3302,"xor eax, dword ptr [rdx]",2-byte
3303,"xor eax, dword ptr [rbx]",2-byte
3306,"xor eax, dword ptr [rsi]",2-byte
3307,"xor eax, dword ptr [rdi]",2-byte
3308,"xor ecx, dword ptr [rax]",2-byte
3309,"xor ecx, dword ptr [rcx]",2-byte
330a,"xor ecx, dword ptr [rdx]",2-byte
330b,"xor ecx, dword ptr [rbx]",2-byte
330e,"xor ecx, dword ptr [rsi]",2-byte
330f,"xor ecx, dword ptr [rdi]",2-byte
3310,"xor edx, dword ptr [rax]",2-byte
3311,"xor edx, dword ptr [rcx]",2-byte
3312,"xor edx, dword ptr [rdx]",2-byte
3313,"xor edx, dword ptr [rbx]",2-byte
3316,"xor edx, dword ptr [rsi]",2-byte
3317,"xor edx, dword ptr [rdi]",2-byte
3318,"xor ebx, dword ptr [rax]",2-byte
3319,"xor ebx, dword ptr [rcx]",2-byte
331a,"xor ebx, dword ptr [rdx]",2-byte
331b,"xor ebx, dword ptr [rbx]",2-byte
331e,"xor ebx, dword ptr [rsi]",2-byte
331f,"xor ebx, dword ptr [rdi]",2-byte
3320,"xor esp, dword ptr [rax]",2-byte
3321,"xor esp, dword ptr [rcx]",2-byte
3322,"xor esp, dword ptr [rdx]",2-byte
3323,"xor esp, dword ptr [rbx]",2-byte
3326,"xor esp, dword ptr [rsi]",2-byte
3327,"xor esp, dword ptr [rdi]",2-byte
3328,"xor ebp, dword ptr [rax]",2-byte
3329,"xor ebp, dword ptr [rcx]",2-byte
332a,"xor ebp, dword ptr [rdx]",2-byte
332b,"xor ebp, dword ptr [rbx]",2-byte
332e,"xor ebp, dword ptr [rsi]",2-byte
332f,"xor ebp, dword ptr [rdi]",2-byte
3330,"xor esi, dword ptr [rax]",2-byte
3331,"xor esi, dword ptr [rcx]",2-byte
3332,"xor esi, dword ptr [rdx]",2-byte
3333,"xor esi, dword ptr [rbx]",2-byte
3336,"xor esi, dword ptr [rsi]",2-byte
3337,"xor esi, dword ptr [rdi]",2-byte
3338,"xor edi, dword ptr [rax]",2-byte
3339,"xor edi, dword ptr [rcx]",2-byte
333a,"xor edi, dword ptr [rdx]",2-byte
333b,"xor edi, dword ptr [rbx]",2-byte
333e,"xor edi, dword ptr [rsi]",2-byte
333f,"xor edi, dword ptr [rdi]",2-byte
33c0,"xor eax, eax",2-byte
33c1,"xor eax, ecx",2-byte
33c2,"xor eax, edx",2-byte
33c3,"xor eax, ebx",2-byte
33c4,"xor eax, esp",2-byte
33c5,"xor eax, ebp",2-byte
33c6,"xor eax, esi",2-byte
33c7,"xor eax, edi",2-byte
33c8,"xor ecx, eax",2-byte
33c9,"xor ecx, ecx",2-byte
33ca,"xor ecx, edx",2-byte
33cb,"xor ecx, ebx",2-byte
33cc,"xor ecx, esp",2-byte
33cd,"xor ecx, ebp",2-byte
33ce,"xor ecx, esi",2-byte
33cf,"xor ecx, edi",2-byte
33d0,"xor edx, eax",2-byte
33d1,"xor edx, ecx",2-byte
33d2,"xor edx, edx",2-byte
33d3,"xor edx, ebx",2-byte
33d4,"xor edx, esp",2-byte
33d5,"xor edx, ebp",2-byte
33d6,"xor edx, esi",2-byte
33d7,"xor edx, edi",2-byte
33d8,"xor ebx, eax",2-byte
33d9,"xor ebx, ecx",2-byte
33da,"xor ebx, edx",2-byte
33db,"xor ebx, ebx",2-byte
33dc,"xor ebx, esp",2-byte
33dd,"xor ebx, ebp",2-byte
33de,"xor ebx, esi",2-byte
33df,"xor ebx, edi",2-byte
33e0,"xor esp, eax",2-byte
33e1,"xor esp, ecx",2-byte
33e2,"xor esp, edx",2-byte
33e3,"xor esp, ebx",2-byte
33e4,"xor esp, esp",2-byte
33e5,"xor esp, ebp",2-byte
33e6,"xor esp, esi",2-byte
33e7,"xor esp, edi",2-byte
33e8,"xor ebp, eax",2-byte
33e9,"xor ebp, ecx",2-byte
33ea,"xor ebp, edx",2-byte
33eb,"xor ebp, ebx",2-byte
33ec,"xor ebp, esp",2-byte
33ed,"xor ebp, ebp",2-byte
33ee,"xor ebp, esi",2-byte
33ef,"xor ebp, edi",2-byte
33f0,"xor esi, eax",2-byte
33f1,"xor esi, ecx",2-byte
33f2,"xor esi, edx",2-byte
33f3,"xor esi, ebx",2-byte
33f4,"xor esi, esp",2-byte
33f5,"xor esi, ebp",2-byte
33f6,"xor esi, esi",2-byte
33f7,"xor esi, edi",2-byte
33f8,"xor edi, eax",2-byte
33f9,"xor edi, ecx",2-byte
33fa,"xor edi, edx",2-byte
33fb,"xor edi, ebx",2-byte
33fc,"xor edi, esp",2-byte
33fd,"xor edi, ebp",2-byte
33fe,"xor edi, esi",2-byte
33ff,"xor edi, edi",2-byte
3400,"xor al, 0",2-byte
3401,"xor al, 1",2-byte
3402,"xor al, 2",2-byte
3403,"xor al, 3",2-byte
3404,"xor al, 4",2-byte
3405,"xor al, 5",2-byte
3406,"xor al, 6",2-byte
3407,"xor al, 7",2-byte
3408,"xor al, 8",2-byte
3409,"xor al, 9",2-byte
340a,"xor al, 0xa",2-byte
340b,"xor al, 0xb",2-byte
340c,"xor al, 0xc",2-byte
340d,"xor al, 0xd",2-byte
340e,"xor al, 0xe",2-byte
340f,"xor al, 0xf",2-byte
3410,"xor al, 0x10",2-byte
3411,"xor al, 0x11",2-byte
3412,"xor al, 0x12",2-byte
3413,"xor al, 0x13",2-byte
3414,"xor al, 0x14",2-byte
3415,"xor al, 0x15",2-byte
3416,"xor al, 0x16",2-byte
3417,"xor al, 0x17",2-byte
3418,"xor al, 0x18",2-byte
3419,"xor al, 0x19",2-byte
341a,"xor al, 0x1a",2-byte
341b,"xor al, 0x1b",2-byte
341c,"xor al, 0x1c",2-byte
341d,"xor al, 0x1d",2-byte
341e,"xor al, 0x1e",2-byte
341f,"xor al, 0x1f",2-byte
3420,"xor al, 0x20",2-byte
3421,"xor al, 0x21",2-byte
3422,"xor al, 0x22",2-byte
3423,"xor al, 0x23",2-byte
3424,"xor al, 0x24",2-byte
3425,"xor al, 0x25",2-byte
3426,"xor al, 0x26",2-byte
3427,"xor al, 0x27",2-byte
3428,"xor al, 0x28",2-byte
3429,"xor al, 0x29",2-byte
342a,"xor al, 0x2a",2-byte
342b,"xor al, 0x2b",2-byte
342c,"xor al, 0x2c",2-byte
342d,"xor al, 0x2d",2-byte
342e,"xor al, 0x2e",2-byte
342f,"xor al, 0x2f",2-byte
3430,"xor al, 0x30",2-byte
3431,"xor al, 0x31",2-byte
3432,"xor al, 0x32",2-byte
3433,"xor al, 0x33",2-byte
3434,"xor al, 0x34",2-byte
3435,"xor al, 0x35",2-byte
3436,"xor al, 0x36",2-byte
3437,"xor al, 0x37",2-byte
3438,"xor al, 0x38",2-byte
3439,"xor al, 0x39",2-byte
343a,"xor al, 0x3a",2-byte
343b,"xor al, 0x3b",2-byte
343c,"xor al, 0x3c",2-byte
343d,"xor al, 0x3d",2-byte
343e,"xor al, 0x3e",2-byte
343f,"xor al, 0x3f",2-byte
3440,"xor al, 0x40",2-byte
3441,"xor al, 0x41",2-byte
3442,"xor al, 0x42",2-byte
3443,"xor al, 0x43",2-byte
3444,"xor al, 0x44",2-byte
3445,"xor al, 0x45",2-byte
3446,"xor al, 0x46",2-byte
3447,"xor al, 0x47",2-byte
3448,"xor al, 0x48",2-byte
3449,"xor al, 0x49",2-byte
344a,"xor al, 0x4a",2-byte
344b,"xor al, 0x4b",2-byte
344c,"xor al, 0x4c",2-byte
344d,"xor al, 0x4d",2-byte
344e,"xor al, 0x4e",2-byte
344f,"xor al, 0x4f",2-byte
3450,"xor al, 0x50",2-byte
3451,"xor al, 0x51",2-byte
3452,"xor al, 0x52",2-byte
3453,"xor al, 0x53",2-byte
3454,"xor al, 0x54",2-byte
3455,"xor al, 0x55",2-byte
3456,"xor al, 0x56",2-byte
3457,"xor al, 0x57",2-byte
3458,"xor al, 0x58",2-byte
3459,"xor al, 0x59",2-byte
345a,"xor al, 0x5a",2-byte
345b,"xor al, 0x5b",2-byte
345c,"xor al, 0x5c",2-byte
345d,"xor al, 0x5d",2-byte
345e,"xor al, 0x5e",2-byte
345f,"xor al, 0x5f",2-byte
3460,"xor al, 0x60",2-byte
3461,"xor al, 0x61",2-byte
3462,"xor al, 0x62",2-byte
3463,"xor al, 0x63",2-byte
3464,"xor al, 0x64",2-byte
3465,"xor al, 0x65",2-byte
3466,"xor al, 0x66",2-byte
3467,"xor al, 0x67",2-byte
3468,"xor al, 0x68",2-byte
3469,"xor al, 0x69",2-byte
346a,"xor al, 0x6a",2-byte
346b,"xor al, 0x6b",2-byte
346c,"xor al, 0x6c",2-byte
346d,"xor al, 0x6d",2-byte
346e,"xor al, 0x6e",2-byte
346f,"xor al, 0x6f",2-byte
3470,"xor al, 0x70",2-byte
3471,"xor al, 0x71",2-byte
3472,"xor al, 0x72",2-byte
3473,"xor al, 0x73",2-byte
3474,"xor al, 0x74",2-byte
3475,"xor al, 0x75",2-byte
3476,"xor al, 0x76",2-byte
3477,"xor al, 0x77",2-byte
3478,"xor al, 0x78",2-byte
3479,"xor al, 0x79",2-byte
347a,"xor al, 0x7a",2-byte
347b,"xor al, 0x7b",2-byte
347c,"xor al, 0x7c",2-byte
347d,"xor al, 0x7d",2-byte
347e,"xor al, 0x7e",2-byte
347f,"xor al, 0x7f",2-byte
3480,"xor al, 0x80",2-byte
3481,"xor al, 0x81",2-byte
3482,"xor al, 0x82",2-byte
3483,"xor al, 0x83",2-byte
3484,"xor al, 0x84",2-byte
3485,"xor al, 0x85",2-byte
3486,"xor al, 0x86",2-byte
3487,"xor al, 0x87",2-byte
3488,"xor al, 0x88",2-byte
3489,"xor al, 0x89",2-byte
348a,"xor al, 0x8a",2-byte
348b,"xor al, 0x8b",2-byte
348c,"xor al, 0x8c",2-byte
348d,"xor al, 0x8d",2-byte
348e,"xor al, 0x8e",2-byte
348f,"xor al, 0x8f",2-byte
3490,"xor al, 0x90",2-byte
3491,"xor al, 0x91",2-byte
3492,"xor al, 0x92",2-byte
3493,"xor al, 0x93",2-byte
3494,"xor al, 0x94",2-byte
3495,"xor al, 0x95",2-byte
3496,"xor al, 0x96",2-byte
3497,"xor al, 0x97",2-byte
3498,"xor al, 0x98",2-byte
3499,"xor al, 0x99",2-byte
349a,"xor al, 0x9a",2-byte
349b,"xor al, 0x9b",2-byte
349c,"xor al, 0x9c",2-byte
349d,"xor al, 0x9d",2-byte
349e,"xor al, 0x9e",2-byte
349f,"xor al, 0x9f",2-byte
34a0,"xor al, 0xa0",2-byte
34a1,"xor al, 0xa1",2-byte
34a2,"xor al, 0xa2",2-byte
34a3,"xor al, 0xa3",2-byte
34a4,"xor al, 0xa4",2-byte
34a5,"xor al, 0xa5",2-byte
34a6,"xor al, 0xa6",2-byte
34a7,"xor al, 0xa7",2-byte
34a8,"xor al, 0xa8",2-byte
34a9,"xor al, 0xa9",2-byte
34aa,"xor al, 0xaa",2-byte
34ab,"xor al, 0xab",2-byte
34ac,"xor al, 0xac",2-byte
34ad,"xor al, 0xad",2-byte
34ae,"xor al, 0xae",2-byte
34af,"xor al, 0xaf",2-byte
34b0,"xor al, 0xb0",2-byte
34b1,"xor al, 0xb1",2-byte
34b2,"xor al, 0xb2",2-byte
34b3,"xor al, 0xb3",2-byte
34b4,"xor al, 0xb4",2-byte
34b5,"xor al, 0xb5",2-byte
34b6,"xor al, 0xb6",2-byte
34b7,"xor al, 0xb7",2-byte
34b8,"xor al, 0xb8",2-byte
34b9,"xor al, 0xb9",2-byte
34ba,"xor al, 0xba",2-byte
34bb,"xor al, 0xbb",2-byte
34bc,"xor al, 0xbc",2-byte
34bd,"xor al, 0xbd",2-byte
34be,"xor al, 0xbe",2-byte
34bf,"xor al, 0xbf",2-byte
34c0,"xor al, 0xc0",2-byte
34c1,"xor al, 0xc1",2-byte
34c2,"xor al, 0xc2",2-byte
34c3,"xor al, 0xc3",2-byte
34c4,"xor al, 0xc4",2-byte
34c5,"xor al, 0xc5",2-byte
34c6,"xor al, 0xc6",2-byte
34c7,"xor al, 0xc7",2-byte
34c8,"xor al, 0xc8",2-byte
34c9,"xor al, 0xc9",2-byte
34ca,"xor al, 0xca",2-byte
34cb,"xor al, 0xcb",2-byte
34cc,"xor al, 0xcc",2-byte
34cd,"xor al, 0xcd",2-byte
34ce,"xor al, 0xce",2-byte
34cf,"xor al, 0xcf",2-byte
34d0,"xor al, 0xd0",2-byte
34d1,"xor al, 0xd1",2-byte
34d2,"xor al, 0xd2",2-byte
34d3,"xor al, 0xd3",2-byte
34d4,"xor al, 0xd4",2-byte
34d5,"xor al, 0xd5",2-byte
34d6,"xor al, 0xd6",2-byte
34d7,"xor al, 0xd7",2-byte
34d8,"xor al, 0xd8",2-byte
34d9,"xor al, 0xd9",2-byte
34da,"xor al, 0xda",2-byte
34db,"xor al, 0xdb",2-byte
34dc,"xor al, 0xdc",2-byte
34dd,"xor al, 0xdd",2-byte
34de,"xor al, 0xde",2-byte
34df,"xor al, 0xdf",2-byte
